SiteID,Site_Description_Cap,Site_Description_Lower,Region,Lat,Long,Site_Type
1,ABBEY ST @ MARLBOROUGH ST (LUAS),abbey st @ marlborough st (luas),CCITY,53.348754,-6.257607,SCATS Site
2,AMIENS ST @ SEVILLE PL,amiens st @ seville pl,CCITY,53.354711,-6.246679,SCATS Site
3,AMIENS ST @ TALBOT ST,amiens st @ talbot st,CCITY,53.351374,-6.250073,SCATS Site
4,ANNESLEY PL @ POPLAR ROW,annesley pl @ poplar row,NCITY,53.361145,-6.240513,SCATS Site
5,NCR @ AUGHRIM ST,ncr @ aughrim st,WCITY1,53.355797,-6.292406,SCATS Site
6,BAGGOT ST BRIDGE,baggot st bridge,SCITY,53.334055,-6.245199,SCATS Site
7,BAGGOT ST @ FITZWILLIAM ST,baggot st @ fitzwilliam st,SCITY,53.336815,-6.249116,SCATS Site
8,BAGGOT ST @ WATERLOO RD,baggot st @ waterloo rd,SCITY,53.333171,-6.243319,SCATS Site
9,BALLYBOUGH RD @ CLONLIFFE RD (LUKE KELLY BR),ballybough rd @ clonliffe rd (luke kelly br),NCITY,53.361367,-6.242793,SCATS Site
10,BALLYGALL RD WEST @ CLUNE RD,ballygall rd west @ clune rd,NCITY,53.38977512,-6.293530902,SCATS Site
11,BALLYMUN RD @ GLASNEVIN AV,ballymun rd @ glasnevin av,NCITY,53.38912341,-6.264819292,SCATS Site
12,BALLYMUN RD @ GRIFFITH AV,ballymun rd @ griffith av,NCITY,53.378896,-6.266859,SCATS Site
13,BALLYMUN RD @ ST PAPPINS RD,ballymun rd @ st pappins rd,NCITY,53.385948,-6.265175,SCATS Site
14,BATH ST @ BEACH RD / DOCK RD,bath st @ beach rd / dock rd,SCITY,53.33773396,-6.219956537,SCATS Site
15,BEAUMONT RD @ SHANTALLA RD,beaumont rd @ shantalla rd,NCITY,53.385381,-6.233328,SCATS Site
17,BERESFORD PL @ EDEN QUAY,beresford pl @ eden quay,CCITY,53.34823832,-6.254945771,SCATS Site
18,NCR @ BERKELEY RD,ncr @ berkeley rd,NCITY,53.36054415,-6.269639,SCATS Site
19,BLACKHALL PL @ BENBURB ST (LUAS),blackhall pl @ benburb st (luas),CCITY,53.34738731,-6.282360635,SCATS Site
20,BLACKHALL PL @ NORTH KING ST,blackhall pl @ north king st,CCITY,53.350022,-6.281693,SCATS Site
21,CAPEL ST @ BOLTON ST,capel st @ bolton st,NCITY,53.351066,-6.270081,SCATS Site
22,KEVIN ST @ BRIDE ST,kevin st @ bride st,SCITY,53.338178,-6.269269,SCATS Site
23,CABRA RD @ ANNAMOE TCE,cabra rd @ annamoe tce,WCITY1,53.36116,-6.286128,SCATS Site
24,CAMDEN ST @ CHARLOTTE ST,camden st @ charlotte st,SCITY,53.33363351,-6.2650364,SCATS Site
